date,close
2015-05-29,19810.0
2015-06-01,19305.0
2015-06-02,19305.0
2015-06-03,20000.0
2015-06-04,18850.0
2015-06-05,19655.0
2015-06-08,19455.0
2015-06-09,19705.0
2015-06-10,20355.0
2015-06-11,20000.0
2015-06-12,20000.0
2015-06-15,19290.0
2015-06-16,19195.0
2015-06-17,19540.0
2015-06-18,19285.0
2015-06-19,18015.0
2015-06-22,17700.0
2015-06-23,19270.0
2015-06-24,19270.0
2015-06-25,18500.0
2015-06-26,17500.0
2015-06-29,16235.0
2015-06-30,16500.0
2015-07-01,14805.0
2015-07-02,14850.0
2015-07-06,13380.05
2015-07-07,14630.05
2015-07-08,12955.0
2015-07-09,13774.2
2015-07-10,13235.0
2015-07-13,13105.0
2015-07-14,14675.0
2015-07-15,13040.0
2015-07-16,12565.0
2015-07-17,11525.0
2015-07-20,10269.95
2015-07-21,10470.05
2015-07-22,9807.15
2015-07-23,9875.0
2015-07-24,8929.95
2015-07-27,8135.0
2015-07-28,9085.0
2015-07-29,9870.0
2015-07-30,9284.95
2015-07-31,8675.0
2015-08-03,7852.0
2015-08-04,7900.0
2015-08-05,7729.95
2015-08-06,8670.0
2015-08-07,7874.95
2015-08-10,9465.0
2015-08-11,9399.95
2015-08-12,10075.0
2015-08-13,9255.0
2015-08-14,9005.0
2015-08-17,8950.0
2015-08-18,8925.0
2015-08-19,8055.0
2015-08-20,7405.0
2015-08-21,6652.5
2015-08-24,5660.0
2015-08-25,5225.0
2015-08-26,5575.05
2015-08-27,6725.0
2015-08-28,7390.0
2015-08-31,8050.0
2015-09-01,6760.0
2015-09-02,6995.0
2015-09-03,7120.0
2015-09-04,6715.05
2015-09-08,7100.0
2015-09-09,6509.95
2015-09-10,6663.8
2015-09-11,6265.0
2015-09-14,5865.85
2015-09-15,6155.0
2015-09-16,7050.0
2015-09-17,6922.25
2015-09-18,6165.0
2015-09-21,6180.05
2015-09-22,5945.0
2015-09-23,5705.0
2015-09-24,5445.05
2015-09-25,5285.0
2015-09-28,4480.0
2015-09-29,4565.0
2015-09-30,4950.0
2015-10-01,5140.0
2015-10-02,6020.0
2015-10-05,6999.95
2015-10-06,8040.0
2015-10-07,8130.0
2015-10-08,9045.05
2015-10-09,8645.0
2015-10-12,7742.5
2015-10-13,7255.0
2015-10-14,7475.0
2015-10-15,8110.05
2015-10-16,8210.0
2015-10-19,7315.0
2015-10-20,7475.0
2015-10-21,6785.0
2015-10-22,6840.0
2015-10-23,6765.0
2015-10-26,6235.0
2015-10-27,5718.4
2015-10-28,6360.0
2015-10-29,6475.0
2015-10-30,6720.0
2015-11-02,7215.0
2015-11-03,8000.0
2015-11-04,7795.0
2015-11-05,7895.0
2015-11-06,7760.0
2015-11-09,7855.0
2015-11-10,7920.0
2015-11-11,6925.0
2015-11-12,6270.0
2015-11-13,6380.0
2015-11-16,7215.0
2015-11-17,6780.0
2015-11-18,7175.05
2015-11-19,6625.0
2015-11-20,6195.0
2015-11-23,6340.0
2015-11-24,7020.0
2015-11-25,6930.0
2015-11-27,6475.0
2015-11-30,6555.0
2015-12-01,6695.0
2015-12-02,5858.05
2015-12-03,5605.05
2015-12-04,5170.0
2015-12-07,3945.0
2015-12-08,4180.0
2015-12-09,4260.55
2015-12-10,4505.0
2015-12-11,3855.0
2015-12-14,3570.0
2015-12-15,3770.05
2015-12-16,3510.0
2015-12-17,3175.0
2015-12-18,3027.5
2015-12-21,2890.0
2015-12-22,2990.0
2015-12-23,3699.9
2015-12-24,3615.0
2015-12-28,3217.05
2015-12-29,3370.0
2015-12-30,3090.0
2015-12-31,3315.0
2016-01-04,3375.0
2016-01-05,3340.0
2016-01-06,2640.0
2016-01-07,2462.5
2016-01-08,2471.1
2016-01-11,2190.0
2016-01-12,2085.0
2016-01-13,1880.0
2016-01-14,2065.0
2016-01-15,1845.0
2016-01-19,1579.6
2016-01-20,1532.2
2016-01-21,1845.0
2016-01-22,2075.0
2016-01-25,1630.0
2016-01-26,1940.0
2016-01-27,1975.0
2016-01-28,2185.0
2016-01-29,2500.0
2016-02-01,2235.0
2016-02-02,1970.0
2016-02-03,2215.0
2016-02-04,2170.0
2016-02-05,1930.0
2016-02-08,1770.0
2016-02-09,1569.95
2016-02-10,1520.0
2016-02-11,1445.0
2016-02-12,1545.0
2016-02-16,1485.0
2016-02-17,1682.5
2016-02-18,1495.0
2016-02-19,1410.0
2016-02-22,1605.0
2016-02-23,1347.5
2016-02-24,1427.5
2016-02-25,1425.0
2016-02-26,1525.0
2016-02-29,1509.95
2016-03-01,1605.0
2016-03-02,1875.0
2016-03-03,2160.0
2016-03-04,2405.0
2016-03-07,2695.0
2016-03-08,2035.0
2016-03-09,2240.0
2016-03-10,2220.0
2016-03-11,2520.0
2016-03-14,2400.0
2016-03-15,2397.5
2016-03-16,2675.0
2016-03-17,2817.5
2016-03-18,2820.0
2016-03-21,2802.5
2016-03-22,2830.0
2016-03-23,2425.0
2016-03-24,2512.0
2016-03-28,2441.5
2016-03-29,2544.0
2016-03-30,2529.0
2016-03-31,2648.0
2016-04-01,2519.0
2016-04-04,2428.5
2016-04-05,2370.0
2016-04-06,2605.5
2016-04-07,2613.0
2016-04-08,2905.0
2016-04-11,2900.5
2016-04-12,3484.5
2016-04-13,3371.0
2016-04-14,3376.0
2016-04-15,3222.5
2016-04-18,3397.5
2016-04-19,3654.5
2016-04-20,3811.5
2016-04-21,3691.0
2016-04-22,4080.5
2016-04-25,3905.0
2016-04-26,4246.0
2016-04-27,4639.5
2016-04-28,4207.0
2016-04-29,4165.5
2016-05-02,4073.0
2016-05-03,3507.5
2016-05-04,3264.0
2016-05-05,3480.0
2016-05-06,3350.5
2016-05-09,3129.5
2016-05-10,3499.0
2016-05-11,3597.05
2016-05-12,3572.0
2016-05-13,3399.0
2016-05-16,3620.0
2016-05-17,3771.0
2016-05-18,3618.01
2016-05-19,3563.0
2016-05-20,3651.5
2016-05-23,3633.0
2016-05-24,3701.0
2016-05-25,4052.5
2016-05-26,3963.5
2016-05-27,3909.5
2016-05-31,3998.5
2016-06-01,4122.5
2016-06-02,4161.5
2016-06-03,4012.0
2016-06-06,4339.0
2016-06-07,4683.5
2016-06-08,4566.5
2016-06-09,4490.5
2016-06-10,3841.0
2016-06-13,3755.0
2016-06-14,3778.0
2016-06-15,3782.0
2016-06-16,3495.5
2016-06-17,3789.5
2016-06-20,3988.5
2016-06-21,4188.0
2016-06-22,4073.0
2016-06-23,4298.5
2016-06-24,3608.0
2016-06-27,3045.0
2016-06-28,3472.0
2016-06-29,3701.5
2016-06-30,3600.0
2016-07-01,3806.5
2016-07-05,3364.0
2016-07-06,3430.0
2016-07-07,3240.5
2016-07-08,3427.5
2016-07-11,3384.5
2016-07-12,3879.5
2016-07-13,3644.5
2016-07-14,3619.0
2016-07-15,3554.0
2016-07-18,3605.0
2016-07-19,3492.5
2016-07-20,3498.0
