date,close
2011-04-20,5.87
2011-04-21,5.91
2011-04-25,5.91
2011-04-26,5.9
2011-04-27,5.97
2011-04-28,5.95
2011-04-29,6.0
2011-05-02,5.96
2011-05-03,5.85
2011-05-04,5.73
2011-05-05,5.2
2011-05-06,5.13
2011-05-09,5.4
2011-05-10,5.43
2011-05-11,5.19
2011-05-12,5.18
2011-05-13,5.2
2011-05-16,5.07
2011-05-17,5.08
2011-05-18,5.22
2011-05-19,5.15
2011-05-20,5.21
2011-05-23,5.07
2011-05-24,5.18
2011-05-25,5.27
2011-05-26,5.23
2011-05-27,5.24
2011-05-31,5.35
2011-06-01,5.21
2011-06-02,5.23
2011-06-03,5.23
2011-06-06,5.14
2011-06-07,5.15
2011-06-08,5.252
2011-06-09,5.298
2011-06-10,5.148
2011-06-13,5.036
2011-06-14,5.15
2011-06-15,4.938
2011-06-16,4.918
2011-06-17,4.81
2011-06-20,4.824
2011-06-21,4.832
2011-06-22,4.876
2011-06-23,4.728
2011-06-24,4.692
2011-06-27,4.672
2011-06-28,4.782
2011-06-29,4.892
2011-06-30,4.894
2011-07-01,4.88
2011-07-05,5.014
2011-07-06,5.004
2011-07-07,5.086
2011-07-08,4.968
2011-07-11,4.902
2011-07-12,4.994
2011-07-13,5.052
2011-07-14,4.94
2011-07-15,5.018
2011-07-18,4.946
2011-07-19,5.04
2011-07-20,5.06
2011-07-21,5.1
2011-07-22,5.132
2011-07-25,5.094
2011-07-26,5.114
2011-07-27,5.002
2011-07-28,4.986
2011-07-29,4.92
2011-08-01,4.896
2011-08-02,4.786
2011-08-03,4.708
2011-08-04,4.414
2011-08-05,4.458
2011-08-08,4.108
2011-08-09,4.112
2011-08-10,4.142
2011-08-11,4.35
2011-08-12,4.346
2011-08-15,4.484
2011-08-16,4.426
2011-08-17,4.45
2011-08-18,4.138
2011-08-19,4.194
2011-08-22,4.268
2011-08-23,4.366
2011-08-24,4.32
2011-08-25,4.306
2011-08-26,4.3306
2011-08-29,4.44
2011-08-30,4.51
2011-08-31,4.52
2011-09-01,4.512
2011-09-02,4.394
2011-09-06,4.384
2011-09-07,4.538
2011-09-08,4.512
2011-09-09,4.426
2011-09-12,4.504
2011-09-13,4.568
2011-09-14,4.496
2011-09-15,4.538
2011-09-16,4.47
2011-09-19,4.352
2011-09-20,4.368
2011-09-21,4.302
2011-09-22,4.048
2011-09-23,4.05
2011-09-26,4.098
2011-09-27,4.224
2011-09-28,4.07
2011-09-29,4.166
2011-09-30,3.968
2011-10-03,3.852
2011-10-04,3.88
2011-10-05,4.014
2011-10-06,4.168
2011-10-07,4.18
2011-10-10,4.336
2011-10-11,4.316
2011-10-12,4.296
2011-10-13,4.262
2011-10-14,4.424
2011-10-17,4.376
2011-10-18,4.472
2011-10-19,4.356
2011-10-20,4.352
2011-10-21,4.43
2011-10-24,4.638
2011-10-25,4.702
2011-10-26,4.596
2011-10-27,4.756
2011-10-28,4.732
2011-10-31,4.696
2011-11-01,4.62
2011-11-02,4.68
2011-11-03,4.768
2011-11-04,4.788
2011-11-07,4.876
2011-11-08,4.926
2011-11-09,4.868
2011-11-10,4.968
2011-11-11,5.032
2011-11-14,4.99
2011-11-15,5.066
2011-11-16,5.196
2011-11-17,5.034
2011-11-18,4.98
2011-11-21,4.95
2011-11-22,4.98
2011-11-23,4.89
2011-11-25,4.9
2011-11-28,4.986
2011-11-29,5.078
2011-11-30,5.114
2011-12-01,5.098
2011-12-02,5.148
2011-12-05,5.1464
2011-12-06,5.146
2011-12-07,5.122
2011-12-08,4.978
2011-12-09,5.078
2011-12-12,4.998
2011-12-13,5.088
2011-12-14,4.822
2011-12-15,4.744
2011-12-16,4.768
2011-12-19,4.754
2011-12-20,4.94
2011-12-21,5.02
2011-12-22,5.046
2011-12-23,5.074
2011-12-27,5.152
2011-12-28,5.056
2011-12-29,5.058
2011-12-30,5.024
2012-01-03,5.242
2012-01-04,5.254
2012-01-05,5.18
2012-01-06,5.192
2012-01-09,5.17
2012-01-10,5.204
2012-01-11,5.148
2012-01-12,5.034
2012-01-13,5.038
2012-01-17,5.128
2012-01-18,5.128
2012-01-19,5.11
2012-01-20,4.99
2012-01-23,5.066
2012-01-24,5.032
2012-01-25,5.064
2012-01-26,5.068
2012-01-27,5.054
2012-01-30,5.016
2012-01-31,4.988
2012-02-01,4.932
2012-02-02,4.896
2012-02-03,4.956
2012-02-06,4.926
2012-02-07,5.01
2012-02-08,5.024
2012-02-09,5.06
2012-02-10,5.016
2012-02-13,5.11
2012-02-14,5.13
2012-02-15,5.18
2012-02-16,5.192
2012-02-17,5.256
2012-02-21,5.382
2012-02-22,5.378
2012-02-23,5.484
2012-02-24,5.578
2012-02-27,5.472
2012-02-28,5.416
2012-02-29,5.434
2012-03-01,5.544
2012-03-02,5.41
2012-03-05,5.432
2012-03-06,5.314
2012-03-07,5.388
2012-03-08,5.412
2012-03-09,5.452
2012-03-12,5.396
2012-03-13,5.4063
2012-03-14,5.354
2012-03-15,5.33
2012-03-16,5.432
2012-03-19,5.47
2012-03-20,5.354
2012-03-21,5.378
2012-03-22,5.308
2012-03-23,5.38
2012-03-26,5.392
2012-03-27,5.39
2012-03-28,5.316
2012-03-29,5.182
2012-03-30,5.176
2012-04-02,5.286
2012-04-03,5.234
2012-04-04,5.12
2012-04-05,5.174
2012-04-09,5.142
2012-04-10,5.072
2012-04-11,5.144
2012-04-12,5.205
2012-04-13,5.162
2012-04-16,5.166
2012-04-17,5.232
2012-04-18,5.148
2012-04-19,5.144
2012-04-20,5.196
2012-04-23,5.15
2012-04-24,5.168
2012-04-25,5.202
2012-04-26,5.216
2012-04-27,5.232
2012-04-30,5.234
