date,close
2005-10-26,82.2
2005-10-27,79.85
2005-10-28,82.15
2005-10-31,83.3
2005-11-01,83.9
2005-11-02,86.45
2005-11-03,87.6
2005-11-04,85.1
2005-11-07,84.05
2005-11-08,84.75
2005-11-09,84.7
2005-11-10,81.65
2005-11-11,81.4
2005-11-14,82.25
2005-11-15,82.3
2005-11-16,84.65
2005-11-17,85.0
2005-11-18,85.1
2005-11-21,87.85
2005-11-22,89.75
2005-11-23,89.45
2005-11-25,89.25
2005-11-28,85.95
2005-11-29,86.3
2005-11-30,87.85
2005-12-01,90.85
2005-12-02,90.85
2005-12-05,91.5
2005-12-06,91.65
2005-12-07,91.9
2005-12-08,95.1
2005-12-09,94.65
2005-12-12,95.4
2005-12-13,94.65
2005-12-14,95.35
2005-12-15,93.9
2005-12-16,92.05
2005-12-19,90.75
2005-12-20,92.4
2005-12-21,93.6
2005-12-22,92.9
2005-12-23,92.75
2005-12-27,90.1
2005-12-28,91.4
2005-12-29,90.25
2005-12-30,90.5
2006-01-03,95.65
2006-01-04,97.4
2006-01-05,95.35
2006-01-06,98.15
2006-01-09,98.25
2006-01-10,100.25
2006-01-11,101.2
2006-01-12,100.1
2006-01-13,101.05
2006-01-17,103.05
2006-01-18,101.85
2006-01-19,105.8
2006-01-20,107.15
2006-01-23,109.7
2006-01-24,109.2
2006-01-25,105.65
2006-01-26,106.8
2006-01-27,108.1
2006-01-30,111.25
2006-01-31,110.6
2006-02-01,107.15
2006-02-02,105.7
2006-02-03,106.05
2006-02-06,108.75
2006-02-07,102.5
2006-02-08,102.1
2006-02-09,99.4
2006-02-10,99.75
2006-02-13,97.75
2006-02-14,95.75
2006-02-15,92.7
2006-02-16,95.05
2006-02-17,95.25
2006-02-21,98.5
2006-02-22,96.5
2006-02-23,96.25
2006-02-24,97.15
2006-02-27,94.25
2006-02-28,93.6
2006-03-01,95.2
2006-03-02,97.85
2006-03-03,97.95
2006-03-06,93.25
2006-03-07,90.75
2006-03-08,90.75
2006-03-09,90.25
2006-03-10,90.9
2006-03-13,92.65
2006-03-14,94.6
2006-03-15,94.6
2006-03-16,96.5
2006-03-17,95.35
2006-03-20,92.9
2006-03-21,91.9
2006-03-22,93.15
2006-03-23,95.15
2006-03-24,96.5
2006-03-27,96.8
2006-03-28,99.45
2006-03-29,100.95
2006-03-30,101.8
2006-03-31,100.25
2006-04-03,100.25
2006-04-04,101.8
2006-04-05,103.6
2006-04-06,104.0
2006-04-07,102.2
2006-04-10,104.4
2006-04-11,102.15
2006-04-12,102.0
2006-04-13,103.2
2006-04-17,104.5
2006-04-18,107.2
2006-04-19,110.1
2006-04-20,109.1
2006-04-21,111.15
2006-04-24,109.85
2006-04-25,108.8
2006-04-26,107.55
2006-04-27,105.9
2006-04-28,107.2
2006-05-01,109.6
2006-05-02,113.25
2006-05-03,111.5
2006-05-04,112.5
2006-05-05,113.65
2006-05-08,113.95
2006-05-09,115.0
2006-05-10,115.0
2006-05-11,113.1
2006-05-12,108.5
2006-05-15,105.4
2006-05-16,104.9
2006-05-17,102.0
2006-05-18,98.95
2006-05-19,99.4
2006-05-22,98.0
2006-05-23,99.35
2006-05-24,97.8
2006-05-25,101.9
2006-05-26,102.15
2006-05-30,100.25
2006-05-31,103.4
2006-06-01,104.45
2006-06-02,106.25
2006-06-05,102.4
2006-06-06,102.05
2006-06-07,96.7
2006-06-08,97.9
2006-06-09,96.95
2006-06-12,92.0
2006-06-13,90.8
2006-06-14,93.5
2006-06-15,98.4
2006-06-16,97.7
2006-06-19,94.0
2006-06-20,92.0
2006-06-21,95.0
2006-06-22,95.65
2006-06-23,97.95
2006-06-26,98.95
2006-06-27,97.75
2006-06-28,98.9
2006-06-29,102.95
2006-06-30,103.75
2006-07-03,105.7
2006-07-05,105.45
2006-07-06,103.95
2006-07-07,101.25
2006-07-10,101.05
2006-07-11,103.2
2006-07-12,102.95
2006-07-13,100.55
2006-07-14,101.05
2006-07-17,96.95
2006-07-18,96.05
2006-07-19,98.7
2006-07-20,94.65
2006-07-21,91.5
2006-07-24,94.25
2006-07-25,98.2
2006-07-26,100.45
2006-07-27,99.35
2006-07-28,99.2
2006-07-31,102.9
2006-08-01,102.45
2006-08-02,102.45
2006-08-03,101.9
2006-08-04,99.65
2006-08-07,100.65
2006-08-08,98.95
2006-08-09,99.5
2006-08-10,100.15
2006-08-11,99.0
2006-08-14,96.35
2006-08-15,98.35
2006-08-16,99.9
2006-08-17,97.7
2006-08-18,99.65
2006-08-21,99.5
2006-08-22,99.7
2006-08-23,98.05
2006-08-24,98.55
2006-08-25,99.85
2006-08-28,97.65
2006-08-29,98.7
2006-08-30,97.25
2006-08-31,97.95
2006-09-01,99.6
2006-09-05,101.65
2006-09-06,98.35
2006-09-07,98.25
2006-09-08,95.45
2006-09-11,92.9
2006-09-12,92.35
2006-09-13,94.5
2006-09-14,91.35
2006-09-15,90.95
2006-09-18,94.0
2006-09-19,92.5
2006-09-20,89.1
2006-09-21,90.5
2006-09-22,89.95
2006-09-25,89.5
2006-09-26,91.05
2006-09-27,92.25
2006-09-28,92.15
2006-09-29,92.9
2006-10-02,90.85
2006-10-03,86.9
2006-10-04,88.15
2006-10-05,89.0
2006-10-06,89.6
2006-10-09,88.8
2006-10-10,90.45
2006-10-11,89.2
2006-10-12,90.7
2006-10-13,92.85
2006-10-16,94.85
2006-10-17,94.05
2006-10-18,93.45
2006-10-19,96.2
2006-10-20,93.95
2006-10-23,93.9
2006-10-24,97.35
2006-10-25,98.6
2006-10-26,99.5
2006-10-27,97.6
2006-10-30,96.7
2006-10-31,97.4
2006-11-01,95.7
2006-11-02,95.1
2006-11-03,97.5
2006-11-06,97.5
2006-11-07,98.3
2006-11-08,99.85
2006-11-09,98.85
2006-11-10,98.7
2006-11-13,98.7
2006-11-14,98.75
2006-11-15,100.6
2006-11-16,97.9
2006-11-17,98.7
2006-11-20,98.65
2006-11-21,99.95
2006-11-22,100.15
2006-11-24,99.55
2006-11-27,98.65
2006-11-28,100.0
2006-11-29,102.75
2006-11-30,103.4
2006-12-01,104.1
2006-12-04,103.85
2006-12-05,103.7
2006-12-06,104.4
2006-12-07,103.35
2006-12-08,104.5
2006-12-11,103.8
2006-12-12,103.0
2006-12-13,104.25
2006-12-14,105.95
2006-12-15,105.85
2006-12-18,102.0
2006-12-19,103.1
2006-12-20,101.65
2006-12-21,100.9
2006-12-22,100.25
2006-12-26,99.25
2006-12-27,100.6
2006-12-28,100.35
2006-12-29,99.4
2007-01-03,95.1
2007-01-04,92.5
2007-01-05,92.15
2007-01-08,92.65
2007-01-09,91.8
2007-01-10,91.0
2007-01-11,89.65
2007-01-12,92.45
2007-01-16,91.05
2007-01-17,92.15
2007-01-18,90.95
2007-01-19,93.7
2007-01-22,93.45
2007-01-23,96.5
2007-01-24,96.7
2007-01-25,94.95
2007-01-26,94.95
2007-01-29,94.7
2007-01-30,97.0
2007-01-31,97.9
2007-02-01,98.35
2007-02-02,98.45
2007-02-05,98.65
2007-02-06,99.6
2007-02-07,98.75
2007-02-08,99.72
2007-02-09,99.05
2007-02-12,98.15
2007-02-13,100.0
2007-02-14,100.05
2007-02-15,98.5
2007-02-16,98.4
2007-02-20,98.0
2007-02-21,99.15
2007-02-22,100.7
2007-02-23,100.9
2007-02-26,101.75
2007-02-27,97.95
2007-02-28,98.4
2007-03-01,97.9
2007-03-02,96.25
2007-03-05,94.4
2007-03-06,96.85
2007-03-07,99.1
2007-03-08,99.95
2007-03-09,99.65
2007-03-12,99.7
2007-03-13,98.15
2007-03-14,99.25
2007-03-15,99.0
2007-03-16,99.0
2007-03-19,101.55
2007-03-20,101.2
2007-03-21,103.3
2007-03-22,104.7
2007-03-23,105.3
2007-03-26,106.15
2007-03-27,105.3
2007-03-28,104.65
2007-03-29,106.15
2007-03-30,104.9
2007-04-02,107.15
2007-04-03,107.5
2007-04-04,107.3
2007-04-05,107.5
2007-04-09,107.15
2007-04-10,109.25
2007-04-11,109.4
2007-04-12,111.05
2007-04-13,111.15
2007-04-16,112.35
2007-04-17,111.55
2007-04-18,110.5
2007-04-19,109.7
2007-04-20,110.63
2007-04-23,111.35
2007-04-24,111.5
2007-04-25,114.55
2007-04-26,115.45
2007-04-27,115.85
2007-04-30,113.4
2007-05-01,113.85
2007-05-02,115.55
2007-05-03,116.5
2007-05-04,116.87
2007-05-07,116.9
2007-05-08,116.95
2007-05-09,117.95
2007-05-10,115.55
2007-05-11,119.25
2007-05-14,118.55
2007-05-15,118.65
2007-05-16,119.35
2007-05-17,121.85
2007-05-18,124.0
2007-05-21,125.5
2007-05-22,123.8
2007-05-23,124.45
2007-05-24,121.15
2007-05-25,122.95
2007-05-29,123.2
2007-05-30,124.75
2007-05-31,124.85
2007-06-01,125.7
2007-06-04,128.37
2007-06-05,128.1
2007-06-06,125.56
2007-06-07,122.65
2007-06-08,123.65
2007-06-11,124.9
2007-06-12,122.67
2007-06-13,127.85
2007-06-14,129.0
2007-06-15,130.3
2007-06-18,131.5
2007-06-19,131.65
2007-06-20,128.45
2007-06-21,131.55
2007-06-22,132.05
2007-06-25,129.45
2007-06-26,127.11
2007-06-27,129.7
2007-06-28,128.2
2007-06-29,128.6
2007-07-02,132.15
2007-07-03,132.75
2007-07-05,132.95
2007-07-06,134.45
2007-07-09,134.85
2007-07-10,134.5
2007-07-11,133.61
2007-07-12,135.7
2007-07-13,135.9
2007-07-16,134.6
2007-07-17,133.45
2007-07-18,135.1
2007-07-19,137.25
2007-07-20,137.15
2007-07-23,138.85
2007-07-24,135.15
2007-07-25,137.0
2007-07-26,133.4
2007-07-27,130.65
2007-07-30,132.04
2007-07-31,133.2
2007-08-01,129.15
2007-08-02,129.75
2007-08-03,124.25
2007-08-06,122.65
2007-08-07,125.05
2007-08-08,127.69
2007-08-09,123.05
2007-08-10,125.5
2007-08-13,127.25
2007-08-14,124.4
2007-08-15,120.3
2007-08-16,118.15
2007-08-17,121.1
2007-08-20,121.85
2007-08-21,120.8
2007-08-22,123.5
2007-08-23,125.75
2007-08-24,128.35
2007-08-27,127.1
2007-08-28,124.19
2007-08-29,128.85
2007-08-30,128.55
2007-08-31,130.35
2007-09-04,133.75
2007-09-05,132.65
2007-09-06,133.25
2007-09-07,131.72
2007-09-10,130.8
2007-09-11,132.75
2007-09-12,133.65
2007-09-13,133.7
2007-09-14,133.6
2007-09-17,131.5
2007-09-18,134.9
2007-09-19,137.5
2007-09-20,138.4
2007-09-21,140.55
2007-09-24,139.1
2007-09-25,138.0
2007-09-26,137.7
2007-09-27,139.4
2007-09-28,138.65
2007-10-01,139.8
2007-10-02,139.75
2007-10-03,138.85
2007-10-04,139.45
2007-10-05,139.2
2007-10-08,137.1
2007-10-09,139.45
2007-10-10,142.1
2007-10-11,142.35
2007-10-12,142.55
2007-10-15,143.05
2007-10-16,141.75
2007-10-17,140.9
2007-10-18,141.95
2007-10-19,133.9
2007-10-22,132.75
2007-10-23,136.95
2007-10-24,137.35
2007-10-25,137.8
2007-10-26,137.55
2007-10-29,138.15
2007-10-30,133.3
2007-10-31,136.6
2007-11-01,135.1
2007-11-02,137.35
2007-11-05,135.12
2007-11-06,138.7
2007-11-07,135.0
2007-11-08,135.2
2007-11-09,133.75
2007-11-12,126.3
2007-11-13,128.8
2007-11-14,129.35
2007-11-15,126.0
2007-11-16,127.85
2007-11-19,125.9
2007-11-20,128.5
2007-11-21,126.45
2007-11-23,129.15
2007-11-26,128.0
2007-11-27,125.6
2007-11-28,127.45
2007-11-29,130.1
2007-11-30,129.05
2007-12-03,130.45
2007-12-04,129.25
2007-12-05,130.0
2007-12-06,134.0
2007-12-07,133.9
2007-12-10,136.05
2007-12-11,133.0
2007-12-12,136.0
2007-12-13,136.7
2007-12-14,133.5
2007-12-17,131.3
2007-12-18,131.4
2007-12-19,132.8
2007-12-20,135.15
2007-12-21,138.8
2007-12-24,139.95
2007-12-26,141.1
2007-12-27,139.35
2007-12-28,139.85
2007-12-31,138.5
2008-01-02,141.3
2008-01-03,143.8
2008-01-04,139.65
2008-01-07,137.01
2008-01-08,135.0
2008-01-09,136.35
2008-01-10,135.36
2008-01-11,133.35
2008-01-14,136.2
2008-01-15,130.3
2008-01-16,125.55
2008-01-17,120.95
2008-01-18,120.8
2008-01-22,117.4
2008-01-23,118.6
2008-01-24,121.0
2008-01-25,120.9
2008-01-28,123.25
2008-01-29,122.7
2008-01-30,120.05
2008-01-31,118.75
2008-02-01,123.35
2008-02-04,124.1
2008-02-05,119.65
2008-02-06,116.3
2008-02-07,117.5
2008-02-08,119.35
2008-02-11,122.6
2008-02-12,122.5
2008-02-13,127.25
2008-02-14,125.8
2008-02-15,125.5
2008-02-19,128.75
2008-02-20,132.0
2008-02-21,128.95
2008-02-22,129.9
2008-02-25,133.6
2008-02-26,135.45
2008-02-27,133.65
2008-02-28,135.55
2008-02-29,131.55
2008-03-03,130.6
2008-03-04,129.6
2008-03-05,132.95
2008-03-06,131.05
2008-03-07,128.15
2008-03-10,125.4
2008-03-11,129.7
2008-03-12,128.2
2008-03-13,130.9
2008-03-14,129.75
2008-03-17,124.25
2008-03-18,128.75
2008-03-19,122.15
2008-03-20,121.75
2008-03-24,124.35
2008-03-25,127.95
2008-03-26,130.75
2008-03-27,129.75
2008-03-28,129.5
2008-03-31,130.85
