date,close
2006-05-05,51.19
2006-05-08,51.19
2006-05-09,51.37
2006-05-10,51.88
2006-05-11,51.46
2006-05-12,49.45
2006-05-15,48.05
2006-05-16,48.14
2006-05-17,46.9
2006-05-18,46.0
2006-05-19,46.28
2006-05-22,45.28
2006-05-23,45.62
2006-05-24,45.0
2006-05-25,46.42
2006-05-26,46.87
2006-05-30,46.15
2006-05-31,47.47
2006-06-01,47.59
2006-06-02,48.33
2006-06-05,46.67
2006-06-06,46.79
2006-06-07,45.0
2006-06-08,45.25
2006-06-09,44.74
2006-06-12,43.75
2006-06-13,42.05
2006-06-14,43.43
2006-06-15,45.28
2006-06-16,45.45
2006-06-19,43.49
2006-06-20,43.32
2006-06-21,44.39
2006-06-22,44.79
2006-06-23,46.89
2006-06-26,47.33
2006-06-27,47.38
2006-06-28,48.06
2006-06-29,49.43
2006-06-30,50.05
2006-07-03,50.66
2006-07-05,50.52
2006-07-06,50.23
2006-07-07,49.44
2006-07-10,49.42
2006-07-11,49.93
2006-07-12,49.53
2006-07-13,48.99
2006-07-14,49.3
2006-07-17,47.84
2006-07-18,48.09
2006-07-19,48.53
2006-07-20,47.61
2006-07-21,46.89
2006-07-24,48.43
2006-07-25,49.4
2006-07-26,50.76
2006-07-27,50.14
2006-07-28,50.54
2006-07-31,51.7
2006-08-01,51.79
2006-08-02,51.75
2006-08-03,51.4
2006-08-04,50.86
2006-08-07,51.19
2006-08-08,51.07
2006-08-09,51.61
2006-08-10,50.72
2006-08-11,50.55
2006-08-14,49.35
2006-08-15,49.74
2006-08-16,49.47
2006-08-17,48.82
2006-08-18,49.31
2006-08-21,49.77
2006-08-22,50.18
2006-08-23,49.34
2006-08-24,50.07
2006-08-25,50.78
2006-08-28,50.0
2006-08-29,49.5
2006-08-30,49.07
2006-08-31,48.86
2006-09-01,49.47
2006-09-05,50.11
2006-09-06,48.35
2006-09-07,48.26
2006-09-08,46.68
2006-09-11,45.23
2006-09-12,45.18
2006-09-13,46.04
2006-09-14,44.61
2006-09-15,44.67
2006-09-18,45.69
2006-09-19,44.68
2006-09-20,43.62
2006-09-21,44.22
2006-09-22,43.55
2006-09-25,43.64
2006-09-26,44.49
2006-09-27,45.54
2006-09-28,45.27
2006-09-29,45.56
2006-10-02,44.79
2006-10-03,43.0
2006-10-04,43.74
2006-10-05,44.54
2006-10-06,44.61
2006-10-09,44.22
2006-10-10,45.14
2006-10-11,44.57
2006-10-12,45.57
2006-10-13,46.33
2006-10-16,47.7
2006-10-17,46.92
2006-10-18,46.97
2006-10-19,48.03
2006-10-20,47.36
2006-10-23,47.11
2006-10-24,48.34
2006-10-25,49.18
2006-10-26,48.77
2006-10-27,48.24
2006-10-30,47.5
2006-10-31,47.78
2006-11-01,47.19
2006-11-02,47.3
2006-11-03,48.34
2006-11-06,48.7
2006-11-07,48.14
2006-11-08,48.79
2006-11-09,49.27
2006-11-10,48.72
2006-11-13,48.45
2006-11-14,48.58
2006-11-15,49.39
2006-11-16,48.21
2006-11-17,48.87
2006-11-20,48.59
2006-11-21,49.58
2006-11-22,49.31
2006-11-24,49.31
2006-11-27,48.82
2006-11-28,49.78
2006-11-29,51.6
2006-11-30,51.74
2006-12-01,51.88
2006-12-04,51.34
2006-12-05,51.83
2006-12-06,51.75
2006-12-07,51.41
2006-12-08,50.89
2006-12-11,50.83
2006-12-12,50.37
2006-12-13,50.64
2006-12-14,51.31
2006-12-15,50.83
2006-12-18,48.82
2006-12-19,49.63
2006-12-20,48.92
2006-12-21,48.6
2006-12-22,48.24
2006-12-26,47.9
2006-12-27,48.32
2006-12-28,48.27
2006-12-29,47.75
2007-01-03,46.03
